uid,시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,취급품목,점포수,홈페이지주소,시도군
3e1997af-5e11-43ea-904d-e725a59ea857,장미원골목시장,서울특별시 강북구 수유동 316-11,서울특별시 강북구 삼양로 464,"{'latitude': '37.6446550', 'longitude': '127.0160417'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",108,,서울
d7fc31eb-db2b-42ae-ba78-ca8fe27f9711,까치산시장,서울특별시 강서구  화곡동 342-16,서울특별시 강서구 강서로 12길 14,"{'latitude': '37.5315384', 'longitude': '126.8478438'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",138,,서울
5b06d978-53b2-4bbf-9464-36c570ff12ab,남부골목시장,서울특별시 강서구 화곡동 797-7,서울특별시 강서구 곰달래로 55길4(화곡동),"{'latitude': '37.5322967', 'longitude': '126.8608422'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",153,,서울
ced7610d-62ca-4561-a15a-7c482f3a9bc1,남부화곡시장,서울특별시 강서구 화곡동 830-1,서울특별시 강서구 등촌로5길 80번지,"{'latitude': '37.5330747', 'longitude': '126.8589653'}",매일,상설장,"농산물,축산물,수산물,의류/신발,음식점업",20,,서울
742ccff9-aa4e-480d-8720-8a440b447273,대원종합시장,서울특별시 강서구 화곡3동 1023,서울특별시 강서구 화곡로21길 78,"{'latitude': '37.5445217', 'longitude': '126.8364517'}",매일,상설장,"농산물,의류/신발,가정용품,음식점업,기타소매업",40,,서울
cda83d34-974d-43e7-9ba1-d2132eb6650c,등마루시장,서울특별시 강서구 등촌동 637-10,서울특별시 강서구 화곡로68길 120,"{'latitude': '37.5566394', 'longitude': '126.8601917'}",매일,상설장,"음식점업,기타소매업,근린생활서비스업",60,,서울
b2438327-abb2-4341-93fa-354f9b212c16,방신전통시장,서울특별시 강서구 방화동 579-1,서울특별시 강서구 방화동로16길32,"{'latitude': '37.5715637', 'longitude': '126.8126546'}",매일,상설장,"농산물,축산물,수산물",94,,서울
7f4e787f-51f6-4c1b-bb93-c3bce441a989,신월중앙시장,서울특별시 강서구 화곡동 929-1,서울특별시 강서구 강서로 5나길 109,"{'latitude': '37.5280659', 'longitude': '126.8423646'}",매일,상설장,가공식품,30,,서울
b596a870-1ea1-40d0-9b94-87d1310512b2,화곡본동시장,서울특별시 강서구 화곡본동 98-45,서울특별시 강서구 까치산로 35,"{'latitude': '37.5428837', 'longitude': '126.8441473'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",50,,서울
071c3c50-d0c5-4137-bc2f-bf380990edb6,화곡중앙골목시장,서울특별시 강서구 화곡동 362-144,서울특별시 강서구 월정로 30길 66,"{'latitude': '37.5348999', 'longitude': '126.8395146'}",매일,상설장,"농산물,축산물,가정용품,음식점업,기타소매업",58,http://hwagokmarket.com,서울
0bfef99c-0489-40ae-8a0e-54815ff3977b,관악신사시장,서울특별시 관악구 신림동 494-34,서울특별시 관악구 관천로19길 89,"{'latitude': '37.4868025', 'longitude': '126.9170837'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",104,,서울
20378077-e7a9-4cab-9078-ea033c98ec13,봉일시장,서울특별시 관악구 봉천동 951-25,서울특별시 관악구 은천로 28,"{'latitude': '37.4858884', 'longitude': '126.9384528'}",매일,상설장,"농산물,축산물,의류/신발",24,kwanaksinsa.alltheway.kr,서울
195b78c8-6c74-4fe0-a3ab-1d00e2fb29bf,봉천제일종합시장,서울특별시 관악구 청룡동 921-1,서울특별시 관악구 청룡2길 29,"{'latitude': '37.4813109', 'longitude': '126.9445064'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",30,,서울
5cd49f4c-065d-4a04-b42d-ae16051cb3a5,봉천중앙시장,서울특별시 관악구 봉천동 32-2,서울특별시 관악구 관악로 211,"{'latitude': '37.4839573', 'longitude': '126.9542168'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",30,,서울
f8719515-99ff-437e-ae74-7e300e5bbfb1,봉천현대시장,서울특별시 관악구 봉천동 503-2,서울특별시 관악구 양녕로 49,"{'latitude': '37.4862584', 'longitude': '126.9466092'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",32,,서울
0685cdb6-1820-44a4-8ad9-15808efe4a17,신림종합시장,서울특별시 관악구 신림동 505-1,서울특별시 관악구 남부순환로 157길 63,"{'latitude': '37.4846679', 'longitude': '126.9171017'}",매일,상설장,"농산물,축산물,가공식품,음식점업,기타소매업",26,,서울
4282bb60-2e07-4fe5-9187-3f7ebc158f4f,신림중앙시장,서울특별시 관악구 조원동 541,서울특별시 관악구 조원로16길 27,"{'latitude': '37.4832209', 'longitude': '126.9114370'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",292,,서울
78480deb-d356-4e8a-9c70-9032d7d427f0,신림현대종합상가,서울특별시 관악구 신림동 1694,서울특별시 관악구 신림로 29길 3-20,"{'latitude': '37.4751229', 'longitude': '126.9324862'}",매일,상설장,"축산물,가공식품,의류/신발,기타소매업,근린생활서비스",89,,서울
84427a8c-c7a4-45d8-8f12-c68f3af57692,신신림시장,서울특별시 관악구 신림동 390-1,서울특별시 관악구 원신2길 34,"{'latitude': '37.4709014', 'longitude': '126.9322441'}",매일,상설장,"농산물,축산물,수산물,가공식품",40,,서울
2261838b-188c-4dde-92f6-dfd014364129,신원시장,서울특별시 관악구 신원동 1599-3,서울특별시 관악구 신원로3길 20-3,"{'latitude': '37.4820882', 'longitude': '126.9273931'}",매일,상설장,"농산물,축산물,수산물,음식점업,기타소매업",121,,서울
72020915-1351-49a0-a0ec-0ba68a66f38a,우림시장,서울특별시 관악구 신림동 638-50,서울특별시 관악구 난곡로 26길 19,"{'latitude': '37.4704641', 'longitude': '126.9210044'}",매일,상설장,"농산물,의류/신발,가정용품,음식점업,기타소매업",95,,서울
abd5a60e-ddad-4095-9ad0-6ebc0b6cfa60,인헌시장,서울특별시 관악구 봉천동 1636-4,서울특별시 관악구 남부순환로246나길 14,"{'latitude': '37.4748726', 'longitude': '126.9647594'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",50,,서울
6f84fba1-83b5-4b79-9b71-b931070ffab6,펭귄시장,서울특별시 관악구 신림동 541의 6,서울특별시 관악구 조원로16길 27,"{'latitude': '37.4832209', 'longitude': '126.9114370'}",매일,상설장,"농산물,축산물,수산물,가공식품,가정용품",80,,서울
f3350313-a7e1-486f-b53e-1a3f510fd32f,광성시장,서울특별시 광진구 중곡동 229-15,서울특별시 광진구 능동로 47길 30,"{'latitude': '37.5636030', 'longitude': '127.0811516'}",매일,상설장,"농산물,축산물,수산물,가공식품,가정용품",132,,서울
9b27c3d7-2f66-4820-b4c7-fc11705301f1,노룬산골목시장(인정시장),서울특별시 광진구 자양동 681-37,서울특별시 광진구 자양로 44-2,"{'latitude': '37.5321787', 'longitude': '127.0862448'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",30,,서울
ea3efa37-a708-4602-9215-b645f2de8272,노룬산시장(건물형),서울특별시 광진구 자양동 44-2,서울특별시 광진구 뚝섬로 491 노룬산시장,"{'latitude': '37.5364923', 'longitude': '127.0648731'}",매일,상설장,"가공식품,기타소매업,근린생활서비스업",58,,서울
07619c5e-b585-4076-aaf9-53ad9d8e4a47,능동로골목시장,서울특별시 광진구 자양동 553-219,서울특별시 광진구 뚝섬로 30길 23,"{'latitude': '37.5351813', 'longitude': '127.0666876'}",매일,상설장,"농산물,축산물,가공식품,의류/신발,기타소매업",87,,서울
4ff67760-a9ef-409b-bebb-0c69ab88d767,신성종합시장(건물형),서울특별시 광진구 중곡동 79-7,서울특별시 광진구 용마산로 50,"{'latitude': '37.5581430', 'longitude': '127.0881863'}",매일,상설장,"가공식품,음식점업,기타소매업",26,,서울
100d2109-1ee8-47eb-a65c-697459efe4f4,영동교골목시장,서울특별시 광진구 자양4동 40-38,서울특별시 광진구 동일로10길 47,"{'latitude': '37.5375206', 'longitude': '127.0642115'}",매일,상설장,"농산물,축산물,가공식품,기타소매업,근린생활서비스업",57,,서울
3c3880cc-3a36-4a6c-b2bf-ba08158bce3d,자양전통시장,서울특별시 광진구 자양동 613-11 일원,서울특별시 광진구 뚝섬로47길 45-2,"{'latitude': '37.5343871', 'longitude': '127.0792012'}",매일,상설장,"농산물,축산물,수산물,가공식품,음식점업",136,,서울
cd9eb767-5074-4ec0-8731-3fcf2630447d,중곡제일전통시장(중곡제일시장),서울특별시 광진구 중곡동 221-6번지,서울특별시 광진구 긴고랑로11길 14,"{'latitude': '37.5638677', 'longitude': '127.0819560'}",매일,상설장,"농산물,축산물,가공식품,의류/신발,기타소매업",137,,서울
a309f389-04a2-4a66-ba4d-30f3958f7364,화양제일골목시장,서울특별시 광진구 화양동 34-72호,서울특별시 광진구 아차산로29길 59,"{'latitude': '37.5435045', 'longitude': '127.0692945'}",매일,상설장,"농산물,축산물,가공식품,의류/신발,기타소매업",63,junggokmarket.co.kr,서울
24afea9d-944a-4a1f-b18f-9dc90cf4c1d6,가리봉시장,서울특별시 구로구 가리봉동 123-62,서울특별시 구로구 우마3길 15,"{'latitude': '37.4817074', 'longitude': '126.8890855'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",66,,서울
5181748d-5718-42f3-9deb-537522f1d622,개봉중앙시장,서울특별시 구로구 개봉동 324-1,서울특별시 구로구 개봉로 17길 34,"{'latitude': '37.4916943', 'longitude': '126.8539000'}",매일,상설장,"농산물,축산물,가공식품,음식점업,기타소매업",21,,서울
98eb44aa-d927-4f6d-9c33-f89901549997,개봉프라자,서울특별시 구로구 고척동 269의1,서울특별시 구로구 고척로40길 19,"{'latitude': '37.5020218', 'longitude': '126.8511678'}",매일,상설장,"의류/신발,가정용품,음식점업",98,,서울
1a8bdaa1-6abc-4ece-a5c7-5d481040ba70,고척근린시장,서울특별시 구로구 고척동 269-1,서울특별시 구로구 고척로 40길 19,"{'latitude': '37.5020218', 'longitude': '126.8511678'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",69,,서울
67b623e6-f964-4c59-9743-f99c1a27d9ac,구로시장,서울특별시 구로구 구로동734-17 2층,서울특별시 구로구 구로동로22길 17-4,"{'latitude': '37.4896430', 'longitude': '126.8856434'}",매일,상설장,"농산물,가공식품,의류/신발,기타소매업,근린생활서비스",159,https://geunrinsijang.modoo.at,서울
389627e9-522a-467d-af7b-912ce55e6b6a,남구로시장,서울특별시 구로구 구로2동 730-52,서울특별시 구로구 구로동로26길 41,"{'latitude': '37.4902676', 'longitude': '126.8864580'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",184,,서울
95d4832c-2b6b-40f7-bb8c-f4670ed11197,남문시장,서울특별시 금천구 독산동 984-10,서울특별시 금천구 시흥대로 144길 17,"{'latitude': '37.4737180', 'longitude': '126.9004184'}",매일,상설장,"농산물,축산물,수산물,의류/신발,음식점업",108,www.namgmromarket.com,서울
9237a50d-c94b-4fdc-b66f-b7b0b713efdd,은행나무시장,서울특별시 금천구 시흥동 828-45,서울특별시 금천구 금하로 25길 9 지하1층,"{'latitude': '37.4513633', 'longitude': '126.9093480'}",매일,상설장,"농산물,축산물,수산물,가공식품,의류/신발",62,,서울
8bf4e7ec-5714-4ff4-84f6-049b082705cc,비단길현대시장,서울특별시 금천구 시흥동 828-45,서울특별시 금천구 독산로 27길 52,"{'latitude': '37.4513633', 'longitude': '126.9093480'}",매일,상설장,"농산물,축산물,수산물,의류/신발,음식점업",228,,서울
c07509e4-937d-4872-9bea-578c5cea5a9d,공릉동도깨비시장,서울특별시 노원구 공릉1동 566-20외 65필지,서울특별시 노원구 동일로180길 37,"{'latitude': '37.6227208', 'longitude': '127.0762298'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",106,,서울
f7071db5-1067-4644-ab8b-03402d031266,방학동도깨비시장,서울특별시 도봉구 방학동 633-15,서울특별시 도봉구 도당로 13가길 17 2층,"{'latitude': '37.6659613', 'longitude': '127.0362120'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",88,,서울
68b51892-2f61-4f8d-856d-b49f97f49ef5,백운시장,서울특별시 도봉구 쌍문동 495-80,서울특별시 도봉구 삼양로154길 30,"{'latitude': '37.6555067', 'longitude': '127.0148994'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",54,,서울
18de0313-7816-436b-a7bd-965aa8613f67,쌍문시장,서울특별시 도봉구 쌍문동 94-29,서울특별시 도봉구 도봉로113길 20,"{'latitude': '37.6484013', 'longitude': '127.0330163'}",매일,상설장,"농산물,축산물,수산물",96,,서울
f3c97816-c04c-4bdc-bc5e-1fd23e1eb025,창동골목시장,서울특별시 도봉구 창동 557-45 일대,서울특별시 도봉구 덕릉로58길 16,"{'latitude': '37.6384058', 'longitude': '127.0391405'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",62,,서울
d190c162-0b31-4c5d-ab2a-eb23cc35d57f,창동신창시장,서울특별시 도봉구 창동 578-47,서울특별시 도봉구 덕릉로 57길 17,"{'latitude': '37.6394390', 'longitude': '127.0374712'}",매일,상설장,"농산물,축산물,수산물,가공식품,기타소매업",77,,서울
ddf4d3ea-2187-42aa-8adb-5c33174b8e59,경동광성상가,서울특별시 동대문구 제기동 917,서울특별시 동대문구 고산자로 464,"{'latitude': '37.5809170', 'longitude': '127.0387791'}",매일,상설장,"농산물,축산물,수산물,가공식품",102,,서울
