시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,시장크기,점포수,시도,시군구
성환이화시장,충청남도 천안시 서북구 성환읍 성환리 348-3,충청남도 천안시 서북구 성환읍 성환중앙로 50,"{'latitude': '36.9180941', 'longitude': '127.1308865'}",상설+정기,전통시장,소형시장,128,충남,천안시
청양전통시장,충청남도 청양군 읍내리 178-4,충청남도 청양군 칠갑산로6길 6,"{'latitude': '36.4505179', 'longitude': '126.8019030'}",상설+정기,전통시장,중형시장,247,충남,청양군
갈산정기시장,충청남도 홍성군 갈산면 상촌리 240-16,충청남도 홍성군 갈산면 상촌로 29,"{'latitude': '36.6037402', 'longitude': '126.5505501'}",상설+정기,전통시장,소형시장,99,충남,홍성군
광천전통시장,충청남도 홍성군 광천읍 광천리 230-32,충청남도 홍성군 광천읍 광천로 285,"{'latitude': '36.4998501', 'longitude': '126.6252541'}",상설+정기,전통시장,중형시장,158,충남,홍성군
홍성전통시장,충청남도 홍성군 홍성읍 대교리 400-1,충청남도 홍성군 홍성읍 홍성천길 242,"{'latitude': '36.6021500', 'longitude': '126.6681690'}",상설+정기,전통시장,중형시장,350,충남,홍성군
괴산전통시장,충청북도 괴산군 괴산읍 동부리 560-1,충청북도 괴산군 괴산읍 읍내로 15길8-8,"{'latitude': '36.8111817', 'longitude': '127.7949745'}",상설+정기,전통시장,중형시장,120,충북,괴산군
단양구경시장(단양인정시장),충청북도 단양군 단양읍 도전리 615,충청북도 단양군 단양읍 도전5길 31,"{'latitude': '36.9825116', 'longitude': '128.3699310'}",상설+정기,전통시장,중형시장,148,충북,단양군
음성무극시장,충청북도 음성군 금왕읍 무극리 77-17,충청북도 음성군 금왕읍 무극로 308번길 12- 12,"{'latitude': '36.9926958', 'longitude': '127.5959754'}",상설+정기,전통시장,중형시장,107,충북,음성군
음성시장,충청북도 음성군 음성읍 읍내리 249-11,충청북도 음성군 음성읍 문화1길 14,"{'latitude': '36.9381504', 'longitude': '127.6920998'}",상설+정기,전통시장,중형시장,52,충북,음성군
제천역전한마음시장,충청북도 제천시 화산동 207-3,충청북도 제천시 내토로 28길 3-1,"{'latitude': '37.1294487', 'longitude': '128.2069551'}",상설,전통시장,중형시장,93,충북,제천시
운수대통! 생거진천전통시장,충청북도 진천군 성석리 629,충청북도 진천군 진천읍 원덕로390,"{'latitude': '36.8607080', 'longitude': '127.4513242'}",상설+정기,전통시장,소형시장,346,충북,진천군
내수전통시장,충청북도 청주시 청원구 내수읍 마산리 169-6,충청북도 청주시 청원구 내수읍 내수로 726,"{'latitude': '36.7262751', 'longitude': '127.5360136'}",상설+정기,전통시장,소형시장,50,충북,청주시
육거리종합시장,충청북도 청주시 상당구 석교동 60-4,충청북도 청주시 상당구  청남로2197번길 42,"{'latitude': '36.6279082', 'longitude': '127.4884768'}",상설+정기,전통시장,중형시장,780,충북,청주시
연원시장,충청북도 충주시 연수동 547-6,충청북도 충주시 금곡로 31,"{'latitude': '36.9893030', 'longitude': '127.9348898'}",상설,전통시장,소형시장,74,충북,충주시
