시장정보,지번 주소,도로명 주소,지리정보,시장개설주기,시장유형,시장크기,점포수,시도,시군구
칠성시장,대구광역시 북구 칠성동1가 276-163,대구광역시 북구 칠성남로 229,"{'latitude': '35.8763055', 'longitude': '128.6053736'}",상설,전통시장,중형시장,76,대구,북구
칠성진시장,대구광역시 북구 칠성동1가 89,대구광역시 북구 칠성시장로 19,"{'latitude': '35.8756535', 'longitude': '128.6040357'}",상설,전통시장,소형시장,50,대구,북구
팔달신시장,대구광역시 북구 노원동3가,대구광역시 북구 팔달로33길5-9,"{'latitude': '35.8964', 'longitude': '128.5674'}",상설,전통시장,중대형시장,60,대구,북구
번개시장,대구광역시 중구 태평로1가 1-152,대구광역시 중구 태평로 177-3\,"{'latitude': '35.8750266', 'longitude': '128.5981253'}",상설,전통시장,중형시장,158,대구,중구
한민시장,대전광역시 서구 괴정동 88-34,대전광역시 서구 도솔로 308번길 27,"{'latitude': '36.3346149', 'longitude': '127.3839819'}",상설,전통시장,중형시장,98,대전,서구
기장시장,부산광역시 기장군 기장읍 대라리 68-5,부산광역시 기장군 기장읍 원내로 104번길 16,"{'latitude': '35.2440266', 'longitude': '129.2154428'}",상설,전통시장,중형시장,112,부산,기장군
초량전통시장,부산광역시 동구 초량동 308- 1,부산광역시 동구 초량로13번길 24,"{'latitude': '35.1180527', 'longitude': '129.0396471'}",상설,전통시장,소형시장,63,부산,동구
수안인정시장,부산광역시 동래구 수안동275-2,부산광역시 동래구 충렬대로245번길 8,"{'latitude': '35.2015104', 'longitude': '129.0865767'}",상설,전통시장,중형시장,74,부산,동래구
개금골목시장,부산광역시 부산진구 개금동 173-2,부산광역시 부산진구 가야공원로 14번길 85,"{'latitude': '35.1519011', 'longitude': '129.0248031'}",상설,전통시장,중형시장,78,부산,부산진구
부전상가,부산광역시 부산진구 부전동 265-25,부산광역시 부산진구 중앙대로 755번길 21,"{'latitude': '35.1603569', 'longitude': '129.0595510'}",상설,전통시장,중대형시장,63,부산,부산진구
부전시장,부산광역시 부산진구 부전동 573-3,부산광역시 부산진구 중앙대로 783번길 23,"{'latitude': '35.1633454', 'longitude': '129.0610308'}",상설,전통시장,중형시장,84,부산,부산진구
정이있는구포시장,부산광역시 북구 구포1동 599-15,부산광역시 북구 구포시장1길 10,"{'latitude': '35.2088806', 'longitude': '129.0039089'}",상설+정기,전통시장,대형시장,104,부산,북구
괴정골목시장,부산광역시 사하구 사하로 198,부산광역시 사하구 사하로 198,"{'latitude': '35.0993400', 'longitude': '128.9937133'}",상설,전통시장,중형시장,65,부산,사하구
하단오일상설시장,부산광역시 사하구 하단 1동 620-8,부산광역시 사하구 제석로17번길 1,"{'latitude': '35.1037079', 'longitude': '128.9708044'}",상설+정기,전통시장,중형시장,99,부산,사하구
충무동새벽시장,부산광역시 서구 남부민1동 684,부산광역시 서구 해안 새벽장길 68,"{'latitude': '35.0931790', 'longitude': '129.0247532'}",상설,전통시장,중형시장,186,부산,서구
충무동해안시장,부산광역시 서구 충무동 1가 1-75,부산광역시 서구 자갈치로 14-12,"{'latitude': '35.0958705', 'longitude': '129.0259966'}",상설,전통시장,중형시장,65,부산,서구
부평깡통시장,부산광역시 중구 부평동2가 16,부산광역시 중구 부평1길,"{'latitude': '35.1015483', 'longitude': '129.0260196'}",상설,전통시장,중대형시장,83,부산,중구
고덕전통시장,서울특별시 강동구 고덕동 210-5,서울특별시 강동구 고덕로 391,"{'latitude': '37.5572540', 'longitude': '127.1690081'}",상설,전통시장,소형시장,72,서울,강동구
창동신창시장,서울특별시 도봉구 창동 578-47,서울특별시 도봉구 덕릉로 57길 17,"{'latitude': '37.6394390', 'longitude': '127.0374712'}",상설,전통시장,소형시장,240,서울,도봉구
경동광성상가,서울특별시 동대문구 제기동 917,서울특별시 동대문구 고산자로 464,"{'latitude': '37.5809170', 'longitude': '127.0387791'}",상설,전통시장,소형시장,93,서울,동대문구
서울약령시장,서울특별시 동대문구  제기동 1082,서울특별시 동대문구 약령중앙로26,"{'latitude': '37.5806721', 'longitude': '127.0376428'}",상설,전통시장,중대형시장,150,서울,동대문구
서교시장,서울특별시 마포구 서교동 375의 1,서울특별시 마포구 동교로22길 19(서교동),"{'latitude': '37.5546647', 'longitude': '126.9188508'}",상설,전통시장,소형시장,73,서울,마포구
마장축산물시장,서울특별시 성동구 마장동 439-1 마축일축산물시장,서울특별시 성동구 마장로35길 68,"{'latitude': '37.5706640', 'longitude': '127.0412886'}",상설,전통시장,대형시장,78,서울,성동구
길음시장,서울특별시 성북구 길음동 535-8 길음시장,서울특별시 성북구 동소문로 227(길음동),"{'latitude': '37.6027181', 'longitude': '127.0217764'}",상설,전통시장,중형시장,56,서울,성북구
석촌시장,서울특별시 송파구 석촌동 274-8 2층,서울특별시 송파구 송파대로 37길 52  2층,"{'latitude': '37.5001773', 'longitude': '127.1065349'}",상설,전통시장,소형시장,93,서울,송파구
대조시장,서울특별시 은평구 대조동 14-64 3층 303호,서울특별시 은평구 불광로 8(대조동)3층 303호,"{'latitude': '37.6093313', 'longitude': '126.9276055'}",상설,전통시장,소형시장,84,서울,은평구
광장시장,서울특별시 종로구 예지동 2-1,서울특별시 종로구 창경궁로 88,"{'latitude': '37.5703015', 'longitude': '126.9987116'}",상설,전통시장,대형시장,555,서울,종로구
서울중앙시장,서울특별시 중구 황학동 442,서울특별시 중구 퇴계로 85길 36,"{'latitude': '37.5673964', 'longitude': '127.0197808'}",상설,전통시장,중형시장,55,서울,중구
신중앙시장,서울특별시 중구 황학동 442,서울특별시 중구 퇴계로85길 36(황학동),"{'latitude': '37.5673964', 'longitude': '127.0197808'}",상설,전통시장,중형시장,70,서울,중구
중부시장,서울특별시 중구 오장동 139-11,서울특별시 중구 을지로36길 35(오장동),"{'latitude': '37.5649746', 'longitude': '127.0018237'}",상설,전통시장,중형시장,279,서울,중구
부강전통시장,세종특별자치시 부강면 부강리 475-1,세종특별자치시 부강면 부강5길 18,"{'latitude': '36.5286236', 'longitude': '127.3689235'}",상설+정기,전통시장,소형시장,50,세종,세종시
세종전통시장,세종특별자치시 조치원읍 정리 19-1,세종특별자치시 조치원읍 조치원8길 42,"{'latitude': '36.5997706', 'longitude': '127.3005918'}",상설+정기,전통시장,중형시장,148,세종,세종시
신정상가시장,울산광역시 남구 신정동 616-1,울산광역시 남구 월평로47번길 15,"{'latitude': '35.5430040', 'longitude': '129.3101138'}",상설,전통시장,중형시장,93,울산,남구
대송농수산물시장,울산광역시 동구 화정동 171-4 농수산물유통센타,울산광역시 동구 대송8길 6(화정동),"{'latitude': '35.4992212', 'longitude': '129.4206584'}",상설,전통시장,소형시장,60,울산,동구
호계공설시장,울산광역시 북구 호계동 869-1 호계공설시장,울산광역시 북구 호계3길 17-11,"{'latitude': '35.6235571', 'longitude': '129.3556087'}",상설+정기,전통시장,소형시장,296,울산,북구
남창옹기종기시장,울산광역시 울주군 온양읍 남창리 146 남창옹기종기시장,울산광역시 울주군 온양읍 남창장터길 24,"{'latitude': '35.4162983', 'longitude': '129.2828404'}",상설+정기,전통시장,소형시장,988,울산,울주군
덕신1차시장,울산광역시 울주군 온산읍 덕신리 1280-21 덕신종합상설시장,울산광역시 울주군 온산읍 덕신리 1280-21,"{'latitude': '35.4352246', 'longitude': '129.3093532'}",상설+정기,전통시장,소형시장,99,울산,울주군
덕신2차시장,울산광역시 울주군 덕신리429,울산광역시 울주군 온산읍 신온7길 69,"{'latitude': '35.4293309', 'longitude': '129.3100631'}",상설+정기,전통시장,소형시장,178,울산,울주군
덕하시장(덕하공설시장),울산광역시 울주군 청량읍 상남리 574-4 덕하시장,울산광역시 울주군 청량읍 덕하장터길 9 덕하시장,"{'latitude': '35.4916970', 'longitude': '129.3058941'}",정기,전통시장,소형시장,119,울산,울주군
언양공설시장,울산광역시 울주군 언양읍 남부리 336-20 언양공설시장,울산광역시 울주군 언양읍 남부리 336-20 언양공설시장,"{'latitude': '35.5628849', 'longitude': '129.1257841'}",정기,전통시장,소형시장,247,울산,울주군
구역전시장,울산광역시 중구 학성동 432-438,울산광역시 중구 구역전길 24-2(학성동),"{'latitude': '35.5572839', 'longitude': '129.3284075'}",상설,전통시장,소형시장,113,울산,중구
신거북시장,인천광역시 서구 석남동 541-15,인천광역시 서구 거북로99,"{'latitude': '37.5032747', 'longitude': '126.6729580'}",상설,전통시장,중형시장,51,인천,서구
강진읍시장,전라남도 강진군 강진읍 동성리 187-5,전라남도 강진군 강진읍 동성리 시장길 19,"{'latitude': '34.6399204', 'longitude': '126.7737937'}",상설+정기,전통시장,소형시장,51,전남,강진군
마량5일시장,전라남도 강진군 마량면 마량리 1000-3,전라남도 강진군 마량면 마량공단길 27-3,"{'latitude': '34.4543755', 'longitude': '126.8138601'}",정기,전통시장,소형시장,109,전남,강진군
병영5일시장,전라남도 강진군 병영면 삼인리 318,전라남도 강진군 병영면 남삼인길 6,"{'latitude': '34.7137542', 'longitude': '126.8156663'}",정기,전통시장,소형시장,148,전남,강진군
동강전통시장,전라남도 고흥군 동강면 유둔리 7-2,전라남도 고흥군 원유둔4길 13-1,"{'latitude': '34.7802679', 'longitude': '127.3345057'}",정기,전통시장,소형시장,99,전남,고흥군
옥과5일시장,전라남도 곡성군 옥과면 리문리 254-5,전라남도 곡성군 옥과면 리문8길 14,"{'latitude': '35.2755622', 'longitude': '127.1382017'}",정기,전통시장,소형시장,79,전남,곡성군
광양5일시장,전라남도 광양시 광양읍 목성리 696-3,전라남도 광양시 광양읍 백운로 3,"{'latitude': '34.9712327', 'longitude': '127.5902530'}",정기,전통시장,소형시장,296,전남,광양시
옥곡5일시장,전라남도 광양시 옥곡면 신금리 1337-1,전라남도 광양시 옥곡면 큰골1길 2-26,"{'latitude': '34.9883708', 'longitude': '127.7004974'}",정기,전통시장,소형시장,148,전남,광양시
구례5일시장,전라남도 구례군 구례읍 봉동리 190-1,전라남도 구례군 구례읍 5일시장작은길 20,"{'latitude': '35.2107746', 'longitude': '127.4698787'}",정기,전통시장,중형시장,99,전남,구례군
나주목사고을시장,전라남도 나주시 삼도동 1388-2,전라남도 나주시 청동길 14,"{'latitude': '35.0370924', 'longitude': '126.7237578'}",상설+정기,전통시장,중형시장,99,전남,나주시
영산포풍물시장,전라남도 나주시 이창동 765,전라남도 나주시 풍물시장2길 12-14,"{'latitude': '34.9915118', 'longitude': '126.7072434'}",정기,전통시장,중형시장,89,전남,나주시
담양시장,전라남도 담양군 담양읍 담주리 7,전라남도 담양군 담양읍 담주4길 40,"{'latitude': '35.3229319', 'longitude': '126.9806208'}",정기,전통시장,소형시장,99,전남,담양군
동부시장,전라남도 목포시 용당동 1053,전라남도 목포시 영산로257번길 15,"{'latitude': '34.8043886', 'longitude': '126.3930638'}",상설,전통시장,중형시장,51,전남,목포시
무안전통시장,전라남도 무안군 무안읍 성내리 21-6,전라남도 무안군 무안읍 승달로 11,"{'latitude': '34.9933227', 'longitude': '126.4732499'}",상설+정기,전통시장,소형시장,178,전남,무안군
녹차골보성향토시장(보성읍5일시장),전라남도 보성군 보성읍 원봉리 2-1,전라남도 보성군 보성읍 현충로 42-1,"{'latitude': '34.7650210', 'longitude': '127.0777010'}",정기,전통시장,소형시장,165,전남,보성군
벌교5일시장,전라남도 보성군 벌교읍 회정리 663-23,전라남도 보성군 벌교읍 시장1길 10,"{'latitude': '34.8447992', 'longitude': '127.3449899'}",정기,전통시장,소형시장,99,전남,보성군
순천시아랫장(순천아랫장),전라남도 순천시 풍덕동 1264,전라남도 순천시 장평로 60,"{'latitude': '34.9453204', 'longitude': '127.4953718'}",정기,전통시장,중형시장,790,전남,순천시
역전시장,전라남도 순천시 덕암동 227-1,전라남도 순천시 역전장길 9,"{'latitude': '34.9438210', 'longitude': '127.5035021'}",상설,전통시장,중형시장,186,전남,순천시
웃장,전라남도 순천시 동외동 168-1,전라남도 순천시 북문길 40,"{'latitude': '34.9588094', 'longitude': '127.4851996'}",상설+정기,전통시장,중형시장,296,전남,순천시
교동시장,전라남도 여수시 교동 606-1,전라남도 여수시 교동시장1길 15-10,"{'latitude': '34.7391285', 'longitude': '127.7301866'}",상설,전통시장,소형시장,186,전남,여수시
여수서시장주변시장,전라남도 여수시 서교동 534-20,전라남도 여수시 서교2길 2-7,"{'latitude': '34.7409549', 'longitude': '127.7285855'}",상설+정기,전통시장,중형시장,302,전남,여수시
영광고추특화시장,전라남도 영광군 영광읍 신하리 324-3,전라남도 영광군 영광읍 신남로 100-25,"{'latitude': '35.2745375', 'longitude': '126.4940751'}",정기,전통시장,소형시장,99,전남,영광군
구림5일시장,전라남도 영암군 군서면 동구림리 34-7,전라남도 영암군 군서면 도갑사로 31-13,"{'latitude': '34.7624969', 'longitude': '126.6348605'}",정기,전통시장,소형시장,137,전남,영암군
독천5일시장,전라남도 영암군 미암면 채지리 138,전라남도 영암군 미암면 독천1길 19,"{'latitude': '34.7244806', 'longitude': '126.5673131'}",정기,전통시장,소형시장,247,전남,영암군
시종시장,전라남도 영암군 시종면 만수리 937-9,전라남도 영암군 시종면 내동중앙로 26,"{'latitude': '34.8674678', 'longitude': '126.6082202'}",정기,전통시장,소형시장,119,전남,영암군
신북5일시장,전라남도 영암군 신북면 월평리 126-3,전라남도 영암군 신북면 황금동로 78,"{'latitude': '34.8884346', 'longitude': '126.6925220'}",정기,전통시장,소형시장,119,전남,영암군
노화읍5일시장,전라남도 완도군 노화읍 이포리 678-13,전라남도 완도군 노화읍 이목길 62,"{'latitude': '34.1775572', 'longitude': '126.5732291'}",정기,전통시장,소형시장,69,전남,완도군
