주소,지리정보,시장정보
부산광역시 사상구 새벽로168번길 21-6,"{'latitude': '35.1561086', 'longitude': '128.9845986'}",감전시장
부산광역시 사상구 새벽로168번길 21-11,"{'latitude': '35.1563253', 'longitude': '128.9845484'}",감전제일상가시장
부산광역시 사상구 학감대로49번길 62,"{'latitude': '35.1351698', 'longitude': '128.9925826'}",구덕대림상가
부산광역시 사상구 광장로7,"{'latitude': '35.1637645', 'longitude': '128.9781151'}",르네시떼시장
부산광역시 사상구 사상로 483,"{'latitude': '35.1876359', 'longitude': '128.9874389'}",모라전통시장
부산광역시 사상구 사상로293번길12,"{'latitude': '35.1712827', 'longitude': '128.9822580'}",복이있는덕포시장
부산광역시 사상구 새벽로 131,"{'latitude': '35.1531844', 'longitude': '128.9811575'}",부산산업용재유통상가
부산광역시 사상구 괘감로 37,"{'latitude': '35.1597552', 'longitude': '128.9804343'}",부산산업용품상협동조합
부산광역시 사상구 새벽로 141,"{'latitude': '35.1541427', 'longitude': '128.9824317'}",부산새벽시장
부산광역시 사상구 사상로250번길58(괘법동),"{'latitude': '35.1666637', 'longitude': '128.9855169'}",사상시장
부산광역시 사상구 학감대로 109-10,"{'latitude': '35.1407094', 'longitude': '128.9879641'}",영해종합시장
부산광역시 사상구 백양대로 880,"{'latitude': '35.1843799', 'longitude': '128.9915987'}",우신종합상가
부산광역시 사상구 가야대로 284번길 12,"{'latitude': '35.1478193', 'longitude': '129.0032932'}",주례럭키종합상가
부산광역시 사상구 주례로 93,"{'latitude': '35.1453274', 'longitude': '129.0051863'}",주례현대무지개상가
부산광역시 사상구 강변대로 570,"{'latitude': '35.1328732', 'longitude': '128.9653822'}",부산광역시건축자재판매협동조합
부산광역시 사하구 하신번영로 233 가락타운2·3단지,"{'latitude': '35.1014214', 'longitude': '128.9574385'}",가락타운상가시장
부산광역시 사하구 옥천로75번길 17,"{'latitude': '35.0939082', 'longitude': '129.0088347'}",감천2동시장
부산광역시 사하구 옥천로 8,"{'latitude': '35.0882442', 'longitude': '129.0054274'}",감천시장
부산광역시 사하구 사하로 198,"{'latitude': '35.0993400', 'longitude': '128.9937133'}",괴정골목시장
부산광역시 사하구 다대동로 20,"{'latitude': '35.0551770', 'longitude': '128.9719736'}",다대씨-파크
부산광역시 사하구 제석로62번길 16,"{'latitude': '35.1054725', 'longitude': '128.9753519'}",당리시장
부산광역시 사하구 장평로 451,"{'latitude': '35.0983551', 'longitude': '128.9864623'}",사하시장
부산광역시 사하구 다대로134번길 27,"{'latitude': '35.0910848', 'longitude': '128.9771233'}",신평골목시장
부산광역시 사하구 다대로134번길 44 신평시장상가아파트,"{'latitude': '35.0916221', 'longitude': '128.9767093'}",신평종합시장
부산광역시 사하구 낙동대로535번길 33,"{'latitude': '35.1111686', 'longitude': '128.9627275'}",에덴골목시장
부산광역시 사하구 낙동대로535번길 28,"{'latitude': '35.1114836', 'longitude': '128.9629713'}",에덴시장
부산광역시 사하구 장림시장 5길 95,"{'latitude': '35.0804730', 'longitude': '128.9676721'}",장림골목시장
부산광역시 사하구 장림번영로 22,"{'latitude': '35.0808865', 'longitude': '128.9678528'}",장림시장
부산광역시 사하구 승학로2번길 1,"{'latitude': '35.1062775', 'longitude': '128.9694938'}",하단시장
부산광역시 사하구 제석로17번길 1,"{'latitude': '35.1037236', 'longitude': '128.9707948'}",하단오일상설시장
부산광역시 서구 대영로 78(동대신동1가),"{'latitude': '35.1103374', 'longitude': '129.0197022'}",대신시장
부산광역시 서구 대영로 74번길 4(동대신동1가),"{'latitude': '35.1103045', 'longitude': '129.0191910'}",동대신1동골목시장
부산광역시 서구 대영로 30번길 19-1(서대신동1가),"{'latitude': '35.1086684', 'longitude': '129.0144050'}",서대신1동골목시장
부산광역시 서구 구덕로295번길 4(서대신동2가),"{'latitude': '35.1104371', 'longitude': '129.0173257'}",서대신동골목시장
부산광역시 서구 충무대로 34(암남동),"{'latitude': '35.0785132', 'longitude': '129.0168260'}",송남시장
부산광역시 서구 아미초장로 132(아미동2가),"{'latitude': '35.0996548', 'longitude': '129.0174846'}",아미시장
부산광역시 서구 충무대로267번길 5(충무동1가),"{'latitude': '35.0942951', 'longitude': '129.0236491'}",충무동골목시장
부산광역시 서구 해안새벽시장길 68(남부민동),"{'latitude': '35.0932945', 'longitude': '129.0247388'}",충무동새벽시장
부산광역시 서구 자갈치로 14-12(충무동1가),"{'latitude': '35.0958727', 'longitude': '129.0259631'}",충무동해안시장
부산광역시 수영구 수영로603번길 18,"{'latitude': '35.1601362', 'longitude': '129.1125002'}",광안시장
부산광역시 수영구 민락수변로7번길 19,"{'latitude': '35.1555907', 'longitude': '129.1245342'}",광안어패류시장
부산광역시 수영구 무학로49번길 71,"{'latitude': '35.1642382', 'longitude': '129.1181712'}",광안종합시장
부산광역시 수영구 광안해변로15번길 77,"{'latitude': '35.1392331', 'longitude': '129.1090585'}",남천해변시장
부산광역시 수영구 감포로8번길 10,"{'latitude': '35.1591296', 'longitude': '129.1212803'}",동방시장
부산광역시 수영구 망미로30번길 23,"{'latitude': '35.1695067', 'longitude': '129.1017232'}",망미삼성상가시장
부산광역시 수영구 연수로275번길 9,"{'latitude': '35.1736231', 'longitude': '129.1007547'}",망미새상가시장
부산광역시 수영구 연수로310번길 16,"{'latitude': '35.1718024', 'longitude': '129.1035626'}",망미종합시장
부산광역시 수영구 과정로6번길7,"{'latitude': '35.1723699', 'longitude': '129.1093332'}",망미중앙시장
부산광역시 수영구 광안해변로 277번길39,"{'latitude': '35.1576153', 'longitude': '129.1236389'}",민락골목시장
부산광역시 수영구 광안해변로 299,"{'latitude': '35.1569740', 'longitude': '129.1263963'}",민락씨랜드시장
부산광역시 수영구 광안해변로 278,"{'latitude': '35.1556964', 'longitude': '129.1244246'}",민락어패류시장
부산광역시 수영구 광남로 158,"{'latitude': '35.1551576', 'longitude': '129.1186409'}",민락회타운시장
부산광역시 수영구 광안해변로 100,"{'latitude': '35.1430393', 'longitude': '129.1164134'}",삼익비치A상가시장
부산광역시 수영구 광안해변로 122,"{'latitude': '35.1457597', 'longitude': '129.1151594'}",삼익비치B상가시장
부산광역시 수영구 남천바다로 16,"{'latitude': '35.1494083', 'longitude': '129.1123162'}",세흥시장
부산광역시 수영구 수영로725번길 36,"{'latitude': '35.1687904', 'longitude': '129.1168897'}",수영팔도시장
부산광역시 수영구 수영로741번길 12,"{'latitude': '35.1685250', 'longitude': '129.1208157'}",현대종합상가시장
부산광역시 연제구 아시아드대로56,"{'latitude': '35.1900129', 'longitude': '129.0682322'}",거성시장
부산광역시 연제구 거제시장로14번길28,"{'latitude': '35.1819269', 'longitude': '129.0727985'}",거제시장
부산광역시 연제구 연동로8번길 22,"{'latitude': '35.1888389', 'longitude': '129.0925222'}",연동시장
부산광역시 연제구 배산로22번길3,"{'latitude': '35.1741343', 'longitude': '129.0945850'}",연미새시장
부산광역시 연제구 고분로 24,"{'latitude': '35.1854066', 'longitude': '129.0847479'}",연일시장
부산광역시 연제구 과정로276번길28,"{'latitude': '35.1897840', 'longitude': '129.0980891'}",연천시장
부산광역시 연제구 중앙대로1031-1,"{'latitude': '35.1807739', 'longitude': '129.0770252'}",영남종합시장
부산광역시 영도구 절영로 49번길 73-5,"{'latitude': '35.0889069', 'longitude': '129.0422626'}",남항시장
부산광역시 영도구 태종로105번길 36,"{'latitude': '35.0927262', 'longitude': '129.0433051'}",영도봉래시장
부산광역시 영도구 태종로 316번길 1,"{'latitude': '35.0965966', 'longitude': '129.0603308'}",청학시장
부산광역시 중구 용미길10번길1,"{'latitude': '35.0968530', 'longitude': '129.0347213'}",남포동건어물도매시장
부산광역시 중구 국제시장 2길24-1,"{'latitude': '35.1014848', 'longitude': '129.0285506'}",만물의거리시장
부산광역시 중구 보수대로 94,"{'latitude': '35.1041981', 'longitude': '129.0217794'}",보수종합시장
부산광역시 중구 중앙대로 1,"{'latitude': '35.0983052', 'longitude': '129.0367023'}",부산데파트
부산광역시 중구 초량중로6번길 일원,"{'latitude': '35.1127042', 'longitude': '129.0363039'}",새영주시장
부산광역시 중구 자갈치로 42,"{'latitude': '35.0968404', 'longitude': '129.0290541'}",신동아수산물종합시장
부산광역시 중구 중구로34번길 21-1,"{'latitude': '35.1011790', 'longitude': '129.0302005'}",신창상가
부산광역시 중구 자갈치로 33,"{'latitude': '35.0970565', 'longitude': '129.0278345'}",신천지시장
부산광역시 중구 중구로30번길 12,"{'latitude': '35.1004585', 'longitude': '129.0289679'}",아리랑거리
부산광역시 중구 대영로 242길,"{'latitude': '35.1118998', 'longitude': '129.0369816'}",영주시장
부산광역시 중구 대청로 60,"{'latitude': '35.1028103', 'longitude': '129.0263542'}",월드밸리
부산광역시 중구 자갈치해안로 52번길,"{'latitude': '35.0966127', 'longitude': '129.0305760'}",자갈치시장
부산광역시 중구 중구로 44 331호,"{'latitude': '35.1018485', 'longitude': '129.0276578'}",창선상가
부산광역시 해운대구 윗반송로51번길 86,"{'latitude': '35.2311258', 'longitude': '129.1562073'}",반송큰시장(반송2동시장)
부산광역시 해운대구 아랫반송로 39번길 18-1,"{'latitude': '35.2242970', 'longitude': '129.1503278'}",반송골목시장
부산광역시 해운대구 아랫반송로21번길 41,"{'latitude': '35.2264819', 'longitude': '129.1480487'}",반송시장
부산광역시 해운대구 해운대로61번길 95-83,"{'latitude': '35.1960300', 'longitude': '129.1290540'}",반여2동상가시장
부산광역시 해운대구 재반로256번길 8,"{'latitude': '35.1999417', 'longitude': '129.1320523'}",반여3동골목시장
부산광역시 해운대구 재반로226번길 48,"{'latitude': '35.1977118', 'longitude': '129.1334276'}",반여시장
부산광역시 해운대구 해운대로383번길 37-10,"{'latitude': '35.1707048', 'longitude': '129.1388408'}",우동종합상가시장
부산광역시 해운대구 재송1로60번길 16 서해재송아파트,"{'latitude': '35.1867651', 'longitude': '129.1238719'}",재송시장
부산광역시 해운대구 재반로 81-20,"{'latitude': '35.1860778', 'longitude': '129.1246168'}",재송한마음시장
부산광역시 해운대구 좌동로91번길 20,"{'latitude': '35.1730691', 'longitude': '129.1744556'}",좌동재래시장
부산광역시 해운대구 구남로41번길 22-1,"{'latitude': '35.1614038', 'longitude': '129.1623174'}",해운대시장
대구광역시 남구 월배로 494,"{'latitude': '35.8365455', 'longitude': '128.5572950'}",관문상가시장
대구광역시 남구 관문시장2길 43,"{'latitude': '35.8355453', 'longitude': '128.5593612'}",관문시장
대구광역시 남구 자유6길50,"{'latitude': '35.8371932', 'longitude': '128.5824169'}",광덕시장
대구광역시 남구 현충로 19길43,"{'latitude': '35.8414129', 'longitude': '128.5769364'}",남부시장
대구광역시 남구 명덕로 60,"{'latitude': '35.8584018', 'longitude': '128.5771714'}",대명시장
대구광역시 남구 대명로20길 56,"{'latitude': '35.8366999', 'longitude': '128.5677059'}",대명중앙시장
대구광역시 남구 대명로 57길 10-46,"{'latitude': '35.8447952', 'longitude': '128.5882639'}",명덕시장
대구광역시 남구 대봉로 17길5-3,"{'latitude': '35.8458266', 'longitude': '128.6037112'}",봉덕시장
대구광역시 남구 봉덕로 115,"{'latitude': '35.8450332', 'longitude': '128.6034530'}",봉덕신시장
대구광역시 남구 성당로 196,"{'latitude': '35.8503762', 'longitude': '128.5731523'}",성당시장
대구광역시 남구 안지랑로16길 67,"{'latitude': '35.8368736', 'longitude': '128.5751524'}",안지랑시장
대구광역시 남구 중앙대로48길 36,"{'latitude': '35.8523211', 'longitude': '128.5929473'}",영선신시장
대구광역시 달서구 구마로 176,"{'latitude': '35.8368612', 'longitude': '128.5470720'}",달서송림시장
대구광역시 달서구 당산로 35,"{'latitude': '35.8401946', 'longitude': '128.5442420'}",달서시장
대구광역시 달서구 도원로24,"{'latitude': '35.8075784', 'longitude': '128.5354672'}",대곡시장
대구광역시 달서구 상원로 22-24,"{'latitude': '35.8116708', 'longitude': '128.5378001'}",대구대동시장
대구광역시 달서구 야외음악당로47길 111,"{'latitude': '35.8585362', 'longitude': '128.5620318'}",대구예전우시장
대구광역시 달서구 당산동길 9,"{'latitude': '35.8455001', 'longitude': '128.5451439'}",두류종합시장
대구광역시 달서구 월곡로 320,"{'latitude': '35.8228869', 'longitude': '128.5352468'}",보성은하상가
대구광역시 달서구 상인로9,"{'latitude': '35.8090211', 'longitude': '128.5513089'}",상원시장
대구광역시 달서구 상인서로 76,"{'latitude': '35.8176833', 'longitude': '128.5428614'}",상인영남상가
대구광역시 달서구 달구벌대로 329길 17,"{'latitude': '35.8543502', 'longitude': '128.5451350'}",서남시장
대구광역시 달서구 달구벌대로329길 10,"{'latitude': '35.8540239', 'longitude': '128.5459713'}",서남신시장
대구광역시 달서구 앞산순환로49길 73,"{'latitude': '35.8270970', 'longitude': '128.5516336'}",송경종합시장
대구광역시 달서구 송현로12안길 38,"{'latitude': '35.8227406', 'longitude': '128.5481771'}",송현주공시장(월촌역시장)
대구광역시 달서구 야외음악당로39길 62,"{'latitude': '35.8546866', 'longitude': '128.5537843'}",신내당시장
대구광역시 달서구 성지로 66-1,"{'latitude': '35.8551387', 'longitude': '128.5213670'}",성서용산시장
대구광역시 달서구 달구벌대로 301길 187-11,"{'latitude': '35.8580476', 'longitude': '128.5311624'}",용산종합큰시장
대구광역시 달서구 월배로24길 13,"{'latitude': '35.8140856', 'longitude': '128.5274026'}",월배시장
대구광역시 달서구 월성2동 89-2,"{'latitude': '35.8275512', 'longitude': '128.5311485'}",월성청구시장
대구광역시 달서구 당산동길 27,"{'latitude': '35.8452812', 'longitude': '128.5462284'}",두류신시장
대구광역시 달성군 논공읍 용호로2길 12,"{'latitude': '35.7283895', 'longitude': '128.4466339'}",논공중앙시장
대구광역시 달성군 현풍읍 현풍로 6길 5,"{'latitude': '35.6947377', 'longitude': '128.4422476'}",현풍백년도깨비시장
대구광역시 동구 해동로3길 6,"{'latitude': '35.8963502', 'longitude': '128.6382106'}",공항시장
대구광역시 동구 효목로 8동 구시장 A동,"{'latitude': '35.8740546', 'longitude': '128.6395728'}",동구시장
대구광역시 동구 동부로 16길 18,"{'latitude': '35.8743151', 'longitude': '128.6205604'}",동대구역전시장
대구광역시 동구 아양로 37길51-1,"{'latitude': '35.8882114', 'longitude': '128.6333768'}",동서시장
대구광역시 동구 반야월로30길 61-1,"{'latitude': '35.8699445', 'longitude': '128.7046409'}",목련시장
대구광역시 동구 율하동로 143,"{'latitude': '35.8723614', 'longitude': '128.7024239'}",반야월종합시장
대구광역시 동구 동촌로46길 2,"{'latitude': '35.8813254', 'longitude': '128.6644040'}",방촌시장
대구광역시 동구 반야월로1길 7,"{'latitude': '35.8746101', 'longitude': '128.6889733'}",불로전통시장
대구광역시 동구 동부로5길 10,"{'latitude': '35.8744999', 'longitude': '128.6152958'}",송라시장
대구광역시 동구 아양로 9길 6-6,"{'latitude': '35.8826006', 'longitude': '128.6194072'}",평화시장
대구광역시 북구 칠성남로 197-15,"{'latitude': '35.8771058', 'longitude': '128.6019427'}",대구능금시장
대구광역시 북구 칠성시장로 34,"{'latitude': '35.8770296', 'longitude': '128.6039134'}",대구청과시장
대구광역시 북구 대현로20길 30,"{'latitude': '35.8810786', 'longitude': '128.6090909'}",동대구시장
대구광역시 북구 대현로 100,"{'latitude': '35.8821860', 'longitude': '128.6097836'}",동대구신시장
대구광역시 북구 대동로1길 34,"{'latitude': '35.8986370', 'longitude': '128.6103517'}",산격종합시장
대구광역시 북구 칠성시장로 42,"{'latitude': '35.8778191', 'longitude': '128.6034802'}",삼성시장
대구광역시 북구 호국로43길27,"{'latitude': '35.9210029', 'longitude': '128.5961718'}",서변중앙시장
대구광역시 북구 태전로 15,"{'latitude': '35.9216619', 'longitude': '128.5449066'}",중앙시장
대구광역시 북구 칠곡중앙대로526,"{'latitude': '35.9424862', 'longitude': '128.5512199'}",칠곡시장
대구광역시 북구 칠성남로 229,"{'latitude': '35.8762819', 'longitude': '128.6054271'}",칠성시장
대구광역시 북구 칠성시장로 19,"{'latitude': '35.8757014', 'longitude': '128.6040546'}",칠성진시장
대구광역시 북구 팔달로33길5-9,"{'latitude': '35.8891017', 'longitude': '128.5683646'}",팔달신시장
대구광역시 북구 유통단지로 16,"{'latitude': '35.9042893', 'longitude': '128.6059095'}",산업용재관
대구광역시 북구 유통단지로 60,"{'latitude': '35.9062590', 'longitude': '128.6096131'}",섬유제품관
대구광역시 북구 유통단지로50,"{'latitude': '35.9056960', 'longitude': '128.6082751'}",전기조명관
대구광역시 북구 유통단지로 45 전자관,"{'latitude': '35.9071910', 'longitude': '128.6069935'}",전자관
대구광역시 북구 유통단지로25,"{'latitude': '35.9057737', 'longitude': '128.6057123'}",전자상가
대구광역시 북구 칠성시장로 15-1,"{'latitude': '35.8754712', 'longitude': '128.6044187'}",칠성본시장
대구광역시 북구 칠성시장로 73-1,"{'latitude': '35.8802060', 'longitude': '128.6015485'}",칠성전자주방시장
대구광역시 서구 문화로49길 25,"{'latitude': '35.8780810', 'longitude': '128.5589325'}",대평리시장
대구광역시 서구 달서로 17-7,"{'latitude': '35.8637377', 'longitude': '128.5713476'}",새길시장
대구광역시 서구 국채보상로45길 33,"{'latitude': '35.8739469', 'longitude': '128.5557024'}",서구시장
대구광역시 서구 달서로 26길 7-2,"{'latitude': '35.8733096', 'longitude': '128.5720469'}",서부시장
대구광역시 서구 국채보상로 52길 33,"{'latitude': '35.8681107', 'longitude': '128.5606898'}",신평리시장
대구광역시 서구 통학로46길 48,"{'latitude': '35.8802782', 'longitude': '128.5682895'}",원고개시장
대구광역시 서구 달서로 54길 6,"{'latitude': '35.8855346', 'longitude': '128.5748006'}",원대신시장
대구광역시 서구 문화로 33길24,"{'latitude': '35.8769421', 'longitude': '128.5506354'}",이현시장
대구광역시 서구 서대구로 17길16,"{'latitude': '35.8654834', 'longitude': '128.5538773'}",중평시장
대구광역시 수성구 수성2가 39-1(수성동2가),"{'latitude': '35.8557162', 'longitude': '128.6167894'}",동성시장
대구광역시 수성구 들안로 285-56(수성동2가),"{'latitude': '35.8556549', 'longitude': '128.6170063'}",수성시장
대구광역시 수성구 신매로16길 24-4(신매동),"{'latitude': '35.8372926', 'longitude': '128.7097068'}",신매시장
대구광역시 수성구 용학로42길 9(지산동),"{'latitude': '35.8208036', 'longitude': '128.6318391'}",지산목련시장(지산종합시장)
대구광역시 수성구 만촌로 66(만촌동),"{'latitude': '35.8648039', 'longitude': '128.6440820'}",청구시장
대구광역시 수성구 수성2가 39-4(수성동2가),"{'latitude': '35.8551035', 'longitude': '128.6167362'}",태백시장
대구광역시 수성구 청솔로 19(황금동),"{'latitude': '35.8484084', 'longitude': '128.6199560'}",황금시장
대구광역시 중구 교동길 40,"{'latitude': '35.8732595', 'longitude': '128.5967824'}",교동시장
대구광역시 중구 명륜로70,"{'latitude': '35.8610560', 'longitude': '128.5919685'}",남문시장
대구광역시 중구 큰장로26길 65,"{'latitude': '35.8689524', 'longitude': '128.5817078'}",동산상가
대구광역시 중구 큰장로 28길 27,"{'latitude': '35.8698969', 'longitude': '128.5808947'}",명품프라자상가
대구광역시 중구 태평로 177-3\,"{'latitude': '35.8750893', 'longitude': '128.5981312'}",번개시장
대구광역시 중구 큰장로26길25,"{'latitude': '35.8688079', 'longitude': '128.5795253'}",서문시장2지구종합상가
대구광역시 중구 큰장로26길 6,"{'latitude': '35.8680791', 'longitude': '128.5784739'}",서문시장5지구
대구광역시 중구 큰장로 26안길5,"{'latitude': '35.8681377', 'longitude': '128.5794917'}",서문시장건해산물상가
대구광역시 중구 큰장로28길10 1층,"{'latitude': '35.8693896', 'longitude': '128.5798443'}",서문시장제1지구직물시장
대구광역시 중구 큰장로28길10 2층,"{'latitude': '35.8693896', 'longitude': '128.5798443'}",서문시장제1지구포목시장
대구광역시 중구 남성로 27-1,"{'latitude': '35.8681233', 'longitude': '128.5899150'}",약령시장
대구광역시 중구 종로 11-9,"{'latitude': '35.8668549', 'longitude': '128.5916671'}",염매시장
대구광역시 중구 달성로 18,"{'latitude': '35.8666694', 'longitude': '128.5827423'}",서문시장4지구종합대체상가(베네시움)
"인천광역시 강화군 강화읍 강화대로 429(A동), 430(B동)","{'latitude': '37.7468882', 'longitude': '126.4838722'}",강화중앙시장(a동b동)
인천광역시 강화군 강화읍 중앙로 17-9,"{'latitude': '37.7413984', 'longitude': '126.4928111'}",강화풍물시장
인천광역시 계양구 계산 시장길 10-18,"{'latitude': '37.5392908', 'longitude': '126.7248710'}",계산시장
인천광역시 계양구 병방시장로69 2층,"{'latitude': '37.5480407', 'longitude': '126.7394569'}",계양산전통시장
인천광역시 계양구 봉오대로677번길 20,"{'latitude': '37.5324986', 'longitude': '126.7243419'}",작전시장
인천광역시 미추홀구 경인로 471번길 7,"{'latitude': '37.4591803', 'longitude': '126.6916387'}",석바위시장
인천광역시 미추홀구 인하로272번길 25,"{'latitude': '37.4468977', 'longitude': '126.6782947'}",신기시장
인천광역시 미추홀구 용삼길 13,"{'latitude': '37.4575660', 'longitude': '126.6503846'}",용현시장
인천광역시 미추홀구 인하로 274-30,"{'latitude': '37.4473845', 'longitude': '126.6784076'}",인천남부종합시장
인천광역시 미추홀구 인주대로 266번길17-1,"{'latitude': '37.4518980', 'longitude': '126.6658494'}",인천용남시장
인천광역시 남동구 백범로312-1,"{'latitude': '37.4638903', 'longitude': '126.7153628'}",간석자유시장
인천광역시 남동구 인하로 527,"{'latitude': '37.4432531', 'longitude': '126.7052368'}",구월도매전통시장
인천광역시 남동구 호구포로 790번길 21의13,"{'latitude': '37.4528680', 'longitude': '126.7205186'}",구월시장
인천광역시 남동구 구월로276번길 39,"{'latitude': '37.4538499', 'longitude': '126.7213529'}",인천모래내전통시장
인천광역시 남동구 인주대로888번길 35,"{'latitude': '37.4465874', 'longitude': '126.7351573'}",장승백이전통시장
인천광역시 동구 샛골로 164-5,"{'latitude': '37.4769981', 'longitude': '126.6452481'}",동부시장
인천광역시 동구 봉수대로 98,"{'latitude': '37.4841398', 'longitude': '126.6615052'}",송림공구상가
인천광역시 동구 화도진로44번길 18,"{'latitude': '37.4761614', 'longitude': '126.6346427'}",송현시장
인천광역시 동구 방축로 83번길 23,"{'latitude': '37.4861524', 'longitude': '126.6546544'}",인천산업유통사업협동조합
인천광역시 동구 중앙로 68,"{'latitude': '37.4753893', 'longitude': '126.6333536'}",중앙시장
인천광역시 동구 송림로109번길 21,"{'latitude': '37.4774725', 'longitude': '126.6461516'}",현대시장
인천광역시 부평구 경인로 1118번길 14-7,"{'latitude': '37.4847227', 'longitude': '126.7432898'}",일신시장(부일종합시장)
인천광역시 부평구 주부토로32번길 25,"{'latitude': '37.4978977', 'longitude': '126.7265691'}",부평깡시장
인천광역시 부평구 부평문화로 78-2,"{'latitude': '37.4940820', 'longitude': '126.7250051'}",부평문화의거리
인천광역시 부평구 부흥로316번길 38-3,"{'latitude': '37.4965075', 'longitude': '126.7266381'}",부평종합시장
인천광역시 부평구 배곶남로 21번길 18,"{'latitude': '37.4733037', 'longitude': '126.6956682'}",십정종합시장(열우물전통시장)
인천광역시 서구 장고개로337번길18의19,"{'latitude': '37.4931372', 'longitude': '126.6844297'}",가좌시장
인천광역시 서구 거북로99,"{'latitude': '37.5032826', 'longitude': '126.6730573'}",신거북시장
인천광역시 서구 강남로 14,"{'latitude': '37.5112301', 'longitude': '126.6719710'}",인천강남시장
인천광역시 서구 가좌로 96번길 35,"{'latitude': '37.4789984', 'longitude': '126.6884782'}",인천축산물시장
인천광역시 서구 원창로239번길 11,"{'latitude': '37.5185788', 'longitude': '126.6759527'}",정서진중앙시장
인천광역시 연수구 독배로 40번길 35,"{'latitude': '37.4246257', 'longitude': '126.6468489'}",연수구옥련시장
인천광역시 연수구 한나루로196번길 14,"{'latitude': '37.4264805', 'longitude': '126.6577073'}",연수송도역전시장
인천광역시 중구 우현로49번길 11-5,"{'latitude': '37.4714662', 'longitude': '126.6278239'}",신포시장
인천광역시 중구 도원로 15-1,"{'latitude': '37.4660694', 'longitude': '126.6366414'}",신흥시장
인천광역시 중구 연안부두로 33번길 37,"{'latitude': '37.4541365', 'longitude': '126.6071645'}",인천종합어시장
광주광역시 광산구 송정로 8번길 33,"{'latitude': '35.1355648', 'longitude': '126.7915243'}",1913송정역시장(송정역전매일시장)
광주광역시 광산구 광산로30번길 65,"{'latitude': '35.1366789', 'longitude': '126.7972508'}",송정5일시장
광주광역시 광산구 송정로 29번길 64,"{'latitude': '35.1374495', 'longitude': '126.7968448'}",송정매일시장
광주광역시 남구 군분로27,"{'latitude': '35.1359261', 'longitude': '126.8945422'}",무등시장
광주광역시 남구 봉선중앙로91번길 7(봉선동),"{'latitude': '35.1290436', 'longitude': '126.9099897'}",봉선시장
광주광역시 동구 제봉로17번길 18-6,"{'latitude': '35.1392992', 'longitude': '126.9208128'}",남광주시장
광주광역시 동구 제봉로17번길 13-6,"{'latitude': '35.1389895', 'longitude': '126.9212401'}",남광주해뜨는시장
광주광역시 동구 제봉로194번길 7,"{'latitude': '35.1540207', 'longitude': '126.9165334'}",대인시장
광주광역시 동구 필문대로192번길 17-1,"{'latitude': '35.1534870', 'longitude': '126.9297330'}",산수시장
광주광역시 북구 중문로9번길 39,"{'latitude': '35.1738876', 'longitude': '126.9163144'}",동부시장
광주광역시 북구 금녕길 23,"{'latitude': '35.1716143', 'longitude': '126.9294088'}",두암시장
광주광역시 북구 동문대로97번길 55,"{'latitude': '35.1729475', 'longitude': '126.9213357'}",말바우시장
광주광역시 북구 대자로 87,"{'latitude': '35.1733572', 'longitude': '126.8820123'}",운암시장
광주광역시 서구 천변좌로 238,"{'latitude': '35.1542990', 'longitude': '126.9022250'}",광주양동시장
광주광역시 서구 천변좌로 254번길 6,"{'latitude': '35.1531683', 'longitude': '126.9033302'}",양동건어물시장
광주광역시 서구 경열로 140-1,"{'latitude': '35.1537063', 'longitude': '126.9008055'}",양동경열로시장
광주광역시 서구 천변좌로 262번길 4,"{'latitude': '35.1528026', 'longitude': '126.9040126'}",양동닭전길시장
광주광역시 서구 천변좌로 243,"{'latitude': '35.1536094', 'longitude': '126.9039419'}",양동복개상가
광주광역시 서구 독립로 205,"{'latitude': '35.1511755', 'longitude': '126.9066179'}",양동산업용품시장
광주광역시 서구 천변좌로 246번길 16,"{'latitude': '35.1532354', 'longitude': '126.9016600'}",양동수산전통시장
광주광역시 서구 화운로156번길 24-1,"{'latitude': '35.1530493', 'longitude': '126.8793059'}",화정동서부시장
대전광역시 대덕구 계족로 608번길 23(법동),"{'latitude': '36.3662063', 'longitude': '127.4315780'}",법동시장
대전광역시 대덕구 동춘당로 83,"{'latitude': '36.3646206', 'longitude': '127.4397417'}",송촌시장
대전광역시 대덕구 석봉로43번길 37,"{'latitude': '36.4491915', 'longitude': '127.4265273'}",신탄진시장
대전광역시 대덕구 중리북로31번길 26,"{'latitude': '36.3655912', 'longitude': '127.4263900'}",중리시장
대전광역시 동구 매봉로 18,"{'latitude': '36.3462656', 'longitude': '127.4432162'}",가양시장
대전광역시 동구 충무로 185,"{'latitude': '36.3218074', 'longitude': '127.4366360'}",대전상가시장
대전광역시 동구 흥룡로37번길 12,"{'latitude': '36.3495030', 'longitude': '127.4470576'}",신도시장
대전광역시 동구 중앙로200번길 85,"{'latitude': '36.3273025', 'longitude': '127.4336437'}",신중앙시장
대전광역시 동구 용운로 164번길 일원,"{'latitude': '36.3278239', 'longitude': '127.4605873'}",용운시장
대전광역시 동구 대전천동로 452,"{'latitude': '36.3225426', 'longitude': '127.4359578'}",인동시장
대전광역시 동구 중앙로 200번길 40,"{'latitude': '36.3292368', 'longitude': '127.4320062'}",자유도매시장
대전광역시 동구 대전로 785,"{'latitude': '36.3297341', 'longitude': '127.4338150'}",전통중앙도매상가
대전광역시 동구 대전로 783,"{'latitude': '36.3295675', 'longitude': '127.4332016'}",중앙도매시장
