주소,지리정보,시장정보
서울특별시 구로구 구로동로26길 41,"{'latitude': '37.4902148', 'longitude': '126.8864330'}",남구로시장
서울특별시 금천구 시흥대로 144길 17,"{'latitude': '37.4737510', 'longitude': '126.9004286'}",남문시장
서울특별시 금천구 금하로 25길 9 지하1층,"{'latitude': '37.4513299', 'longitude': '126.9093642'}",은행나무시장
서울특별시 금천구 독산로 27길 52,"{'latitude': '37.4577373', 'longitude': '126.9048812'}",비단길현대시장
서울특별시 노원구 동일로180길 37,"{'latitude': '37.6226954', 'longitude': '127.0762635'}",공릉동도깨비시장
서울특별시 도봉구 도당로 13가길 17 2층,"{'latitude': '37.6659474', 'longitude': '127.0362262'}",방학동도깨비시장
서울특별시 도봉구 삼양로154길 30,"{'latitude': '37.6554947', 'longitude': '127.0149006'}",백운시장
서울특별시 도봉구 도봉로113길 20,"{'latitude': '37.6483723', 'longitude': '127.0329848'}",쌍문시장
서울특별시 도봉구 덕릉로58길 16,"{'latitude': '37.6384055', 'longitude': '127.0391615'}",창동골목시장
서울특별시 도봉구 덕릉로 57길 17,"{'latitude': '37.6394393', 'longitude': '127.0374733'}",창동신창시장
서울특별시 동대문구 고산자로 464,"{'latitude': '37.5810052', 'longitude': '127.0388280'}",경동광성상가
서울특별시 동대문구 왕산로 147,"{'latitude': '37.5787842', 'longitude': '127.0396587'}",경동시장
서울특별시 동대문구 전농로 4길 38,"{'latitude': '37.5667891', 'longitude': '127.0586536'}",답십리현대시장
서울특별시 동대문구 천호대로 281,"{'latitude': '37.5674196', 'longitude': '127.0525642'}",동부시장
서울특별시 동대문구 왕산로33길 13,"{'latitude': '37.5797032', 'longitude': '127.0412231'}",동서시장
서울특별시 동대문구 약령중앙로26,"{'latitude': '37.5806004', 'longitude': '127.0375866'}",서울약령시장
서울특별시 동대문구 전농로 15길 7,"{'latitude': '37.5781550', 'longitude': '127.0570404'}",전농로터리시장
서울특별시 동대문구 경동시장로 21,"{'latitude': '37.5809529', 'longitude': '127.0403837'}",청량리농수산물시장
서울특별시 동대문구 고산자로 34길 48의1,"{'latitude': '37.5780865', 'longitude': '127.0409720'}",청량리수산시장
서울특별시 동대문구 경동시장로8길 30,"{'latitude': '37.5809048', 'longitude': '127.0423368'}",청량리전통시장
서울특별시 동대문구 경동시장로 3-1,"{'latitude': '37.5793506', 'longitude': '127.0408783'}",청량리종합시장
서울특별시 동대문구 경동시장로 7,"{'latitude': '37.5796170', 'longitude': '127.0406978'}",청량리청과물시장
서울특별시 동대문구 경동시장로9가길 16,"{'latitude': '37.5819048', 'longitude': '127.0403314'}",청량종합도매시장(깡통시장)
서울특별시 동대문구 회기로25길 11,"{'latitude': '37.5909813', 'longitude': '127.0549859'}",회기시장
서울특별시 동작구 상도로 357 아파트 시장,"{'latitude': '37.4969506', 'longitude': '126.9535536'}",강남시장
서울특별시 동작구 동작대로29길 8(사당동),"{'latitude': '37.4881392', 'longitude': '126.9815681'}",남성시장
서울특별시 동작구 사당로 16가길 19,"{'latitude': '37.4829997', 'longitude': '126.9723377'}",남성역골목시장
서울특별시 동작구 매봉로 177,"{'latitude': '37.5122436', 'longitude': '126.9519078'}",본동인정시장
서울특별시 동작구 사당로244,"{'latitude': '37.4830336', 'longitude': '126.9748808'}",사당시장
서울특별시 동작구 상도로 47길 8,"{'latitude': '37.4996837', 'longitude': '126.9515597'}",상도전통시장
서울특별시 동작구상도로102,"{'latitude': '37.4999427', 'longitude': '126.9317763'}",성대시장
서울특별시 동작구 국사봉1길 41,"{'latitude': '37.4992177', 'longitude': '126.9308567'}",성대전통시장
서울특별시 마포구 만리재로 19 (공덕동),"{'latitude': '37.5447948', 'longitude': '126.9532583'}",공덕시장
서울특별시 마포구 성미산로 198 (연남동),"{'latitude': '37.5623749', 'longitude': '126.9267687'}",동진시장
서울특별시 마포구 월드컵로 235 (성산동),"{'latitude': '37.5651985', 'longitude': '126.8985079'}",마포농수산물시장
"서울특별시 마포구 마포대로6길 16, 만리재로 23(공덕동)","{'latitude': '37.5453945', 'longitude': '126.9533241'}",마포시장
서울특별시 마포구 홍익로3길 20 (서교동),"{'latitude': '37.5535252', 'longitude': '126.9217041'}",서교시장
서울특별시 마포구 동교로12길 21 (서교동),"{'latitude': '37.5534613', 'longitude': '126.9126883'}",영진시장
"서울특별시 서대문구 가재울로6길 53-87(남가좌동, 백련시장아파트)","{'latitude': '37.5770219', 'longitude': '126.9231168'}",백련시장
서울특별시 서대문구 연희맛로 23(연희동),"{'latitude': '37.5670966', 'longitude': '126.9296080'}",연희사러가
서울특별시 서대문구 통일로 189-1 영천시장,"{'latitude': '37.5703388', 'longitude': '126.9618596'}",영천시장
서울특별시 서대문구 인왕시장길 24(홍제동),"{'latitude': '37.5912207', 'longitude': '126.9433386'}",인왕시장
서울특별시 서초구 방배중앙로 27길 17,"{'latitude': '37.4949922', 'longitude': '126.9848056'}",남부종합시장
서울특별시 서초구 남부순환로356길 15(양재동),"{'latitude': '37.4843263', 'longitude': '127.0379729'}",양재시장
서울특별시 성동구 성수이로 32-15,"{'latitude': '37.5378064', 'longitude': '127.0548447'}",뚝도시장
"서울특별시 성동구 마장로35길 68, 4층","{'latitude': '37.5706897', 'longitude': '127.0412904'}",마장축산물시장
서울특별시 성동구 용답중앙길 59,"{'latitude': '37.5641650', 'longitude': '127.0525672'}",용답상가시장
서울특별시 성북구 동소문로 227(길음동),"{'latitude': '37.6027807', 'longitude': '127.0215920'}",길음시장
서울특별시 성북구 동소문로 18길 12-3,"{'latitude': '37.5916739', 'longitude': '127.0157221'}",돈암시장
서울특별시 성북구 한천로 73길 33,"{'latitude': '37.6095094', 'longitude': '127.0616688'}",돌곶이시장(구 석관황금시장)
서울특별시 성북구 장위로 36길 46-1,"{'latitude': '37.6144683', 'longitude': '127.0407855'}",장위전통시장
서울특별시 성북구 보국문로11길 18,"{'latitude': '37.6088610', 'longitude': '127.0090985'}",정릉시장
서울특별시 성북구 정릉로26가길 36,"{'latitude': '37.6027763', 'longitude': '127.0110237'}",정릉아리랑시장
"서울특별시 송파구 마천로45길 23, 113호","{'latitude': '37.4980805', 'longitude': '127.1506963'}",마천시장
"서울특별시 송파구 마천로45길, 2층","{'latitude': '37.5089832', 'longitude': '127.1256930'}",마천중앙시장
서울특별시 송파구 가락로 243,"{'latitude': '37.5099621', 'longitude': '127.1178854'}",방이시장
서울특별시 송파구 백제고분로15길 42(잠실동) 지하1층,"{'latitude': '37.5090969', 'longitude': '127.0849179'}",새마을시장
"서울특별시 송파구 송파대로 37길 52, 지층","{'latitude': '37.5001808', 'longitude': '127.1065455'}",석촌시장
서울특별시 송파구 바람드리길 34(풍납동),"{'latitude': '37.5375655', 'longitude': '127.1194934'}",풍납시장
서울특별시 양천구 오목로9길 31,"{'latitude': '37.5249412', 'longitude': '126.8421390'}",경창시장
서울특별시 양천구 목동중앙북로 16길3,"{'latitude': '37.5460472', 'longitude': '126.8738910'}",목2동시장
서울특별시 양천구 목동중앙북로6길 5(목동),"{'latitude': '37.5481673', 'longitude': '126.8652264'}",목동깨비시장 (목3동시장)
서울특별시 양천구 목동중앙남로7길 8(목동),"{'latitude': '37.5376215', 'longitude': '126.8662280'}",목사랑시장 (목4동시장)
서울특별시 양천구 월정로 161-5 2층,"{'latitude': '37.5330257', 'longitude': '126.8360297'}",신월1동신영시장
서울특별시 양천구 지양로 78,"{'latitude': '37.5226576', 'longitude': '126.8335703'}",우성상가시장
서울특별시 양천구 월정로29길3,"{'latitude': '37.5334691', 'longitude': '126.8356913'}",월정로시장
서울특별시 영등포구 디지털로 372번지,"{'latitude': '37.4903921', 'longitude': '126.9012838'}",대림중앙시장
서울특별시 영등포구 도신로 60길 7,"{'latitude': '37.5112083', 'longitude': '126.9174289'}",대신시장
서울특별시 영등포구 영등포로 37길4,"{'latitude': '37.5206032', 'longitude': '126.9056713'}",동남상가
서울특별시 영등포구 영등포로 219(영등포동5가),"{'latitude': '37.5201519', 'longitude': '126.9058157'}",삼구시장
서울특별시 영등포구 영등포로 225(영등포동5가),"{'latitude': '37.5199200', 'longitude': '126.9066546'}",영신상가
서울특별시 영등포구 문래로30길 27,"{'latitude': '37.5162016', 'longitude': '126.9007455'}",영일시장
서울특별시 영등포구 신풍로 87,"{'latitude': '37.5004625', 'longitude': '126.9159212'}",영진시장(A동)
서울특별시 용산구 효창원로 270(서계동),"{'latitude': '37.5513355', 'longitude': '126.9637136'}",만리시장
서울특별시 용산구 보광로 30,"{'latitude': '37.5271965', 'longitude': '127.0003047'}",보광시장
서울특별시 용산구 신흥로 95-9(용산동2가),"{'latitude': '37.5453122', 'longitude': '126.9850672'}",신흥시장
서울특별시 용산구 효창원로40길 13(용문동),"{'latitude': '37.5366334', 'longitude': '126.9597889'}",용산용문시장
서울특별시 용산구 이촌로75길 16-9,"{'latitude': '37.5207443', 'longitude': '126.9747848'}",이촌종합시장
서울특별시 용산구 이태원로14길 6,"{'latitude': '37.5338202', 'longitude': '126.9899375'}",이태원시장
서울특별시 용산구 한강대로104길 77,"{'latitude': '37.5503526', 'longitude': '126.9767817'}",후암시장
서울특별시 은평구 응암로 12길 8,"{'latitude': '37.5879213', 'longitude': '126.9175223'}",대림골목시장
서울특별시 은평구 응암로4길 20,"{'latitude': '37.5865394', 'longitude': '126.9175880'}",대림시장
서울특별시 은평구 불광로 8(대조동)3층 303호,"{'latitude': '37.6093253', 'longitude': '126.9276198'}",대조시장
서울특별시 은평구 응암로22길3-1,"{'latitude': '37.5939159', 'longitude': '126.9187144'}",신응암시장
서울특별시 은평구 연서로 247(불광동),"{'latitude': '37.6196910', 'longitude': '126.9221720'}",연서시장
서울특별시 은평구 통일로 731(대조동),"{'latitude': '37.6106226', 'longitude': '126.9294663'}",제일시장
서울특별시 은평구 증산로3길 12(증산동),"{'latitude': '37.5814750', 'longitude': '126.9050780'}",증산종합시장
서울특별시 종로구 창경궁로 88,"{'latitude': '37.5701125', 'longitude': '126.9997071'}",광장시장
서울특별시 종로구 종로 266 동대문종합시장,"{'latitude': '37.5707065', 'longitude': '127.0073287'}",동대문종합시장
서울특별시 종로구 종로266종합시장디동,"{'latitude': '37.5707065', 'longitude': '127.0073287'}",동대문종합시장D동상가
서울특별시 종로구 종로44길 14,"{'latitude': '37.5705155', 'longitude': '127.0111345'}",동문시장㈜
서울특별시 종로구 난계로27길 51,"{'latitude': '37.5726699', 'longitude': '127.0203474'}",신설종합시장
서울특별시 종로구 종로38길 16,"{'latitude': '37.5702286', 'longitude': '127.0049462'}",종로신진시장
서울특별시 종로구 자하문로 15길 18,"{'latitude': '37.5807704', 'longitude': '126.9699642'}",통인시장
서울특별시 종로구 청계천로 229(종로5가),"{'latitude': '37.5701354', 'longitude': '127.0030432'}",한일상가
서울특별시 종로구 종로 272(종로6가),"{'latitude': '37.5708266', 'longitude': '127.0081219'}",동대문종합시장 신관(동대문쇼핑타운)
서울특별시 중구 마장로1길 21,"{'latitude': '37.5686997', 'longitude': '127.0119265'}",광희패션몰
서울특별시 중구 남대문시장4길 21,"{'latitude': '37.5591926', 'longitude': '126.9776642'}",남대문시장
서울특별시 중구 장충단로 282-10(신당동),"{'latitude': '37.5691506', 'longitude': '127.0108681'}",남평화시장
서울특별시 중구 을지로 201(을지로4가),"{'latitude': '37.5669309', 'longitude': '127.0004157'}",대림상가
서울특별시 중구 청계천로 318 동평화시장 7층,"{'latitude': '37.5693566', 'longitude': '127.0137915'}",동평화시장
